Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1488,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,1998,Case,CASE,721B,721B,32448,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,15700.00,,,,,15700,  ,4/13/2022,,675.00,1000.00,   ,1000.00,595.00,,595.00,17970.00,Auction,28080.00,10110.00,11110.00,23.00,0.56,56.26,1,,,,,,,,1,,,,,,
1489,Construction,Crawler Loader,Construction_Equipment,Crawler Loaders,2007,Deere,DEERE,755C,755C II,5090,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,36697.50,,,,,36697.5,  ,4/13/2022,,750.00,1000.00,   ,1000.00,946.00,,946.00,39393.50,Auction,51084.00,11690.50,12690.50,23.00,0.30,29.68,1,,,,,1,,,,,,,,,
1490,Construction,Excavator,Construction_Equipment,Excavators - Crawler,2015,Kobelco,KOBELCO,SK350 LC-9E,SK350 LC-9E,9508,,Ritchie Bros,Lake Worth,TX,"Dallas, TX",3/21/2022,45085.50,,,,,45085.5,  ,4/13/2022,,1056.00,1000.00,   ,1000.00,826.00,,826.00,47967.50,Auction,44604.00,-3363.50,-2363.50,23.00,-0.07,-7.01,,,,,,,,,,,,,,,
1491,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,6410,6410,,3,e,Milford,IL,"Fargo, ND",3/17/2022,15750.00,,,,40000,15750,24250,4/28/2022,,2400.00,2211.00,,2211.00,495.00,,495.00,20856.00,Auction,18468.00,-2388.00,-177.00,42.00,-0.11,-11.45,1,,,,,1,,,,,,,,,
1492,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2011,Ag-Chem,AG-CHEM,6303,TERRAGATOR 6303,,,BigIron,Tuttle,OK,"Dallas, TX",3/17/2022,26800.00,,,,40000,26800,13200,3/25/2022,,,  ,,,,,,26800.00,Retail,40000.00,13200.00,,8.00,0.49,49.25,3,1,,,,,1,1,,,,,,,
1493,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2016,Oshkosh,OSHKOSH,MMV3,MMV3,,NR,IronPlanet,Butner,NC,"Fargo, ND",3/16/2022,34430.00,,,,75000,34430,40570,4/27/2022,,3717.45,1834.50,743.00,2577.50,1582.00,,1582.00,42306.95,Auction,85428.00,43121.05,44955.55,42.00,1.02,101.92,2,1,,,,1,,,,,,,,,
1494,Construction,Skidder,Construction_Equipment,Forestry Equipment - Skidders,2015,John Deere,DEERE,948l,948L,,,IronPlanet,Shreveport,LA,"Dallas, TX",3/22/2022,42988.50,,,,60000,42988.5,17011.5,4/13/2022,,1400.00,1000.00,,1000.00,1362.00,,1362.00,46750.50,Auction,73548.00,26797.50,27797.50,22.00,0.57,57.32,2,1,,,,,,,1,,,,,,
1495,Construction,Landscape Loader,Construction_Equipment,Skip Loaders,2007,Case,CASE,570n,570M XT,,,IronPlanet,Dallas,TX,"Dallas, TX",3/22/2022,16200.00,,,,,16200,  ,,,100.00,  ,,,,,,16300.00,,  ,,,,,,1,,,,,,1,,,,,,Held-for-use,,
1496,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2015,JCB,JCB,510-56,510-56,,,IronPlanet,Davie,FL,"Hurricane Mills, TN",3/22/2022,26736.75,,,,40000,26736.75,13263.25,6/22/2022,,2450.00,600.00,,600.00,595.00,,595.00,30381.75,Auction,32724.00,2342.25,2942.25,92.00,0.08,7.71,1,,,,,,,1,,,,,,,
1497,Construction,Wheel Loader,Construction_Equipment,Wheel Loaders,2003,Caterpillar,CATERPILLAR,938G,938G II,,,Brinkley Auctions Inc (EF),Idabel,OK,"Dallas, TX",3/22/2022,35880.00,,,,,35880,  ,4/20/2022,,1000.00,1000.00,   ,1000.00,595.00,,595.00,38475.00,Auction,35640.00,-2835.00,-1835.00,29.00,-0.07,-7.37,1,,,,,,,1,,,,,,,
