Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime,
1192,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,TX-1000,DINGO TX1000N,,,,,,"Fargo, ND",10/1/2021,"$13,500.00 ",,,," $18,000.00 "," $13,500.00 "," $4,500.00 ",3/16/2022,0,"$1,000.00 ", $763.00 ,$85.00,$848.00 ,$395.00 ,,$395.00 ,"$15,743.00",Auction," $12,528.00 ","($3,215.00)","($2,452.00)",166,-20.42%,1,,,,,,,1,,,,,,,,
1193,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2017,Toro,TORO,22323G,DINGO TX525N,,,,,,"Fargo, ND",10/1/2021,"$7,750.00 ",,,," $12,000.00 "," $7,750.00 "," $4,250.00 ",2/16/2022,0,"$1,000.00 ", $606.00 ,$267.00,$873.00 ,$395.00 ,,$395.00 ,"$10,018.00",Auction," $11,556.00 ","$1,538.00 ","$2,144.00 ",138,15.35%,1,,,,,,,1,,,,,,,,
1203,Construction,Heater,Construction_Equipment,Towable Heaters,2018,Allmond Brothers,ALLMAND BROS,Maxi-Heat,MAXI HEAT 1MBTU,,,,,,"Fargo, ND",9/26/2021,"$15,500.00 ",,,," $25,000.00 "," $15,500.00 "," $9,500.00 ",,,"$1,000.00 ",  ,,$0.00 ,,,,"$16,500.00",,  ,,,,,1,1,,,,,,,,,,,ASSET,,,
1205,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2005,Ag Chem,AG-CHEM,Terragator 9203,TERRAGATOR 9203,6158,,,,,"Fargo, ND",9/30/2021,"$7,665.00 ",,,,," $7,665.00 ",  ,11/24/2021,1,"$3,200.00 "," $2,338.00 ",$960.99,"$3,298.99 ",, $395.00 ,$395.00 ,"$14,558.99",Auction," $11,988.00 ","($2,570.99)",($232.99),55,-17.66%,,,,,,,,,,,,,,,,
1212,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2016,Rogator,ROGATOR,9300B,RG9300B,,,,,,"Fargo, ND",9/30/2021,"$51,540.00 ",,,," $65,000.00 "," $51,540.00 "," $13,460.00 ",3/28/2022,0,$0.00 , $-   ,$0.00,$0.00 ,500,,$500.00 ,"$52,040.00",Retail," $55,000.00 ","$2,960.00 ","$2,960.00 ",179,5.69%,1,,,,,,,,1,,,,,,,
1233,Construction,Dump Truck,Construction_Equipment,Off-Highway Trucks,2020,Bell,BELL,B45E,B45E,,,,,,"Fargo, ND",10/15/2021,"$121,000.00 ",,,," $250,000.00 "," $121,000.00 "," $129,000.00 ",3/8/2022,0,"$8,000.00 ","$39,626.00 ",,"$39,626.00 ",,,,"$168,626.00",Retail," $350,000.00 ","$181,374.00 ","$221,000.00 ",144,107.56%,1,,,,,,,,1,,,,,,,
1234,Agriculture,Harvester,Agricultural_Equipment,Specialty Crop Equipment - Harvesters - Other,2020,Case IH,CASE IH,A9900 Sugar Cane,A9900,,,,,,"Fargo, ND",10/1/2021,"$34,320.00 ",,,,," $34,320.00 ",  ,,, $-   ,  ,,$0.00 ,,,,"$34,320.00",,  ,,,,,1,,,,,,,,1,,,,ASSET,,,
1248,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,22327G,DINGO TX1000N,,,IronPlanet,,,"Fargo, ND",10/15/2021,"$14,700.00 ",,,," $19,000.00 "," $14,700.00 "," $4,300.00 ",3/17/2022,0,"$1,300.00 "," $1,200.00 ",$85.00,"$1,285.00 ",$495.00 ,,$495.00 ,"$17,780.00",Auction," $17,820.00 ",$40.00 ,"$1,240.00 ",153,0.22%,1,,,,,,,1,,,,,,,,
1255,Agriculture,Baler,Agricultural_Equipment,Hay and Forage Equipment - Round Balers,2016,Kubota,KUBOTA,BV4580,BV4580,,,,,,"Fargo, ND",11/12/2021,"$12,870.00 ",,,," $20,000.00 "," $12,870.00 "," $7,130.00 ",8/10/2022,1,"$1,300.00 ", $411.00 ,$395.00,$806.00 ,395, $790.00 ,"$1,185.00 ","$16,161.00",Auction," $11,880.00 ","($4,281.00)","($3,870.00)",271,-26.49%,1,,,,,1,,,,,,,,,,
1258,Construction,Loader,Construction_Equipment,Wheel Loaders,2015,Caterpillar,CATERPILLAR,950M,950M,3167,,IronPlanet,,,"Fargo, ND",11/20/2021,"$72,540.00 ",,,," $110,000.00 "," $72,540.00 "," $37,460.00 ",1/26/2022,0,"$4,900.00 "," $6,885.00 ","$1,869.13","$8,754.13 ","$3,186.00 ",,"$3,186.00 ","$89,380.13",Auction," $172,044.00 ","$82,663.87 ","$89,548.87 ",67,92.49%,1,1,,,,,,,,,,,,,,
1259,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Prinoth,PRINOTH,Panther T8,PANTHER T8,2597,,,,,"Fargo, ND",11/1/2021,"$47,540.00 ",,,,," $47,540.00 ",  ,7/13/2022,0,"$2,650.00 ", $-   ,$0.00,$0.00 ,938,,$938.00 ,"$51,128.00",Auction," $50,652.00 ",($476.00),($476.00),254,-0.93%,1,,,,,,,,1,,,,,,,
1262,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Morooka,,MST1500VD,,1136,,,,,"Fargo, ND",11/15/2021,"$57,540.00 ",,,,," $57,540.00 ",  ,,1,"$3,800.00 ", $-   ,$152.56,$152.56 ,," $1,116.00 ","$1,116.00 ","$62,608.56",,,,,,,1,,,,,,,1,,,,,Ask Bunde,,,
1263,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Prinoth,PRINOTH,Panther T12,PANTHER T12,2997,,IronPlanet,,,"Fargo, ND",11/15/2021,"$54,540.00 ",,,, $1.00 ," $54,540.00 "," $(54,539.00)",2/3/2022,1,"$3,950.00 "," $1,548.00 ",$14.64,"$1,562.64 ",," $1,120.00 ","$1,120.00 ","$61,172.64",Retail," $66,000.00 ","$4,827.36 ","$6,375.36 ",80,7.89%,1,,,,,,,,1,,,,,,,
1272,Others,Container,Other_Items,Shipping Containers,,,UNKNOWN,40' Shipping Container,40' CONTAINER,,,,,,"Fargo, ND",11/12/2021,"$2,530.00 ",,,," $5,000.00 "," $2,530.00 "," $2,470.00 ",,," $1,900.00 ",  ,,$0.00 ,,,,"$4,430.00",,  ,,,,,1,,,,,1,,,,,,,ASSET,,,
1273,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1996,Challenger,CATERPILLAR,CH55,CH55,,,IronPlanet,,,"Hurricane Mills, TN",2/1/2022,"$10,450.00 ",,,," $15,000.00 "," $10,450.00 "," $4,550.00 ",3/2/2022,0,"$1,700.00 ", $423.00 ,$250.00,$673.00 ,$395.00 ,,$395.00 ,"$13,218.00",Auction," $13,932.00 ",$714.00 ,"$1,137.00 ",29,5.40%,1,,,,,,1,,,,,,,,,
1275,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2012,Rogator,ROGATOR,RG1100,RG1100,2600,3,Liberty Mutual Insurance,,,"Fargo, ND",12/15/2021,"$16,000.00 ",,,," $45,000.00 "," $16,000.00 "," $29,000.00 ",3/9/2022,0,"$4,200.00 ", $300.00 ,$128.47,$428.47 ,$495.00 ,,$495.00 ,"$21,123.47",Auction," $25,704.00 ","$4,580.53 ","$4,880.53 ",84,21.68%,1,1,,,,,,,,,,,,,,
1276,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,New Holland,NEW HOLLAND,TV140,TV140,8225,,,,,"Fargo, ND",11/8/2021,"$14,586.00 ",,,, $1.00 ," $14,586.00 "," $(14,585.00)",3/10/2022,0," $2,000.00 "," $1,817.28 ",  ,"$1,817.28 ",,,,"$18,403.28",Retail," $27,500.00 ","$9,096.72 ","$10,914.00 ",122,49.43%,,,,,,,,,,,,,,,,
1284,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2006,Ag-Chem,AG-CHEM,TG8103,TERRAGATOR 8103,4200,,Del Peterson,,,"Fargo, ND",12/1/2021,"$7,992.00 ",,,," $15,000.00 "," $7,992.00 "," $7,008.00 ",2/2/2022,0,"$1,100.00 ", $500.00 ,$316.12,$816.12 ,$495.00 ,,$495.00 ,"$10,403.12",Auction," $17,928.00 ","$7,524.88 ","$8,024.88 ",63,72.33%,1,1,,,,,,,,,,,,,,
1290,Construction,Loader,Construction_Equipment,Wheel Loaders,2012,Volvo,VOLVO,L250G,L250G,11306,3,,,,"Fargo, ND",11/17/2021,"$15,510.00 ",,,," $75,000.00 "," $15,510.00 "," $59,490.00 ",4/20/2022,0,"$15,000.00 "," $7,317.00 ","$3,000.02","$10,317.02 ", $964.00 ,,$964.00 ,"$41,791.02",Auction," $52,056.00 ","$10,264.98 ","$17,581.98 ",154,24.56%,1,,,,,1,,,,,,,,,,
1291,Construction,Loader,Construction_Equipment,Wheel Loaders,2014,Volvo,VOLVO,L250H,L250H,,3,IronPlanet,,,"Fargo, ND",11/17/2021,"$17,600.00 ",,,," $75,000.00 "," $17,600.00 "," $57,400.00 ",3/24/2022,0,"$15,000.00 ", $-   ,$0.00,$0.00 ,$595.00 ,,$595.00 ,"$33,195.00",Auction," $31,860.00 ","($1,335.00)","($1,335.00)",127,-4.02%,1,,,,,1,,,,,,,,,,
1292,Construction,Dozer,Construction_Equipment,Dozers - Crawler,2008,Case,CASE,850L,850L,,3,IronPlanet,,,"Fargo, ND",1/1/2022,"$17,600.00 ",,,, $(12.00)," $17,600.00 "," $(17,612.00)",3/16/2022,0,"$4,900.00 ", $470.00 ,$0.00,$470.00 ,$595.00 ,,$595.00 ,"$23,565.00",Auction," $27,000.00 ","$3,435.00 ","$3,905.00 ",74,14.58%,1,,,,,,,,1,,,,,,,
1293,Construction,Drill Rig,Construction_Equipment,Drills - Vertical,2018,Sandvik,SANDVIK,DX900i,DX900I,,3,,,,"Fargo, ND",1/11/2021,"$90,310.00 ",,,," $250,000.00 "," $90,310.00 "," $159,690.00 ",7/20/2022,0,"$8,400.00 "," $4,585.50 ",$333.44,"$4,918.94 "," $1,842.00 ",,"$1,842.00 ","$105,470.94",Auction," $99,468.00 ","($6,002.94)","($1,417.44)",555,-5.69%,1,,,,,,,,1,,,,,,,
1294,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1998,Case IH,CASE IH,7220,7220,11817,,Loup Machinery,,,"Hurricane Mills, TN",2/15/2022,"$24,500.00 ",,,," $35,000.00 "," $24,500.00 "," $10,500.00 ",3/2/2022,0,"$1,302.00 "," $1,000.00 ",$500.00,"$1,500.00 ",$595.00 ,,$595.00 ,"$27,897.00",Auction," $33,696.00 ","$5,799.00 ","$6,799.00 ",15,20.79%,2,,,,,,1,1,,,,,,,,
1295,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1997,Case IH,CASE IH,7210,7210,7600,,,,,"Hurricane Mills, TN",11/18/2021,"$24,500.00 ",,,,," $24,500.00 ",  ,4/11/2022,1," $1,302.00 "," $1,000.00 ",$500.00,"$1,500.00 ",, $495.00 ,$495.00 ,"$27,797.00",Retail," $35,000.00 ","$7,203.00 ","$8,203.00 ",144,25.91%,2,,,,,,1,1,,,,,,,,
1303,Agriculture,Cotton Stripper,Agricultural_Equipment,Harvesters - Cotton Pickers/Strippers,2018,John Deere,JOHN DEERE,CS690,CS690,,3,Liberty Mutual Insurance,Perryton,TX,Off-Site,12/10/2021,"$102,100.00 ",,,," $150,000.00 "," $102,100.00 "," $47,900.00 ",2/1/2022,0,0, $-   ,"$1,000.00","$1,000.00 ","$2,604.00 ",,"$2,604.00 ","$105,704.00",Auction," $140,616.00 ","$34,912.00 ","$34,912.00 ",53,33.03%,1,,,,,,,,1,,,,,,,
1304,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2012,Terragator,TERRAGATOR,TG8400,TG8400,3896,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,"$32,000.00 ",,,," $45,000.00 "," $32,000.00 "," $13,000.00 ",2/2/2022,0,"$1,000.00 "," $1,600.00 ",$850.00,"$2,450.00 ",$706.00 ,,$706.00 ,"$36,156.00",Auction," $38,124.00 ","$1,968.00 ","$3,568.00 ",61,5.44%,2,,,,,,1,1,,,,,,,,
1305,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2013,Terragator,TERRAGATOR,TG8400,TG8400,3471,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,"$32,500.00 ",,,," $50,000.00 "," $32,500.00 "," $17,500.00 ",2/23/2022,0,"$1,000.00 ", $269.00 ,$65.24,$334.24 ,$724.00 ,,$724.00 ,"$34,558.24",Auction," $39,096.00 ","$4,537.76 ","$4,806.76 ",82,13.13%,2,,,,,,1,1,,,,,,,,
1306,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2015,Terragator,TERRAGATOR,TG8300B,TG8300B,2922,,Sullivan Auctioneers,New Hampton,IA,"Fargo, ND",12/3/2021,"$37,500.00 ",,,," $55,000.00 "," $37,500.00 "," $17,500.00 ",2/16/2022,0,"$1,300.00 "," $2,327.00 ","$1,375.86","$3,702.86 ",$810.00 ,,$810.00 ,"$43,312.86",Auction," $40,500.00 ","($2,812.86)",($485.86),75,-6.49%,2,,,,,,1,1,,,,,,,,
1307,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2015,Terragator,TERRAGATOR,TG9300B,TG9300B,2284,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,"$51,000.00 ",,,,," $51,000.00 ",  ,2/23/2022,0,"$1,000.00 ", $639.00 ,"$1,038.35","$1,677.35 ","$1,010.00 ",,"$1,010.00 ","$54,687.35",Auction," $54,540.00 ",($147.35),$491.65 ,82,-0.27%,2,,,,,,1,1,,,,,,,,
1308,Agriculture,Chopper,Agricultural_Equipment,Harvesters - Forage - Self-Propelled,2008,Krone,KRONE,Big X 800,Big X 800,3490,,Dakota Line Sales,,,"Fargo, ND",12/2/2021,"$25,535.00 ",,,,," $25,535.00 ",  ,2/23/2022,0,$500.00 ," $3,811.00 ","$4,989.96","$8,800.96 ",$595.00 ,,$595.00 ,"$35,430.96",Auction," $30,456.00 ","($4,974.96)","($1,163.96)",83,-14.04%,1,,,,,,,1,,,,,,,,
1309,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2013,Krone,KRONE,Easy Collect 753,Easy Collect 753,,,Dakota Line Sales,,,"Fargo, ND",12/2/2021,"$10,000.00 ",,,,," $10,000.00 ",  ,2/23/2022,0,$500.00 , $383.00 ,$0.00,$383.00 ,$495.00 ,,$495.00 ,"$11,378.00",Auction," $19,656.00 ","$8,278.00 ","$8,661.00 ",83,72.75%,1,,,,,,,1,,,,,,,,
1310,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2005,New Holland,NEW HOLLAND,TM190,TM190,,,Rebel Auction (EF),Lydia,SC,"Hurricane Mills, TN",12/7/2021,"$26,487.50 ",,,," $37,000.00 "," $26,487.50 "," $10,512.50 ",1/26/2022,0,"$1,400.00 "," $1,000.00 ","$1,800.00","$2,800.00 ",$786.00 ,,$786.00 ,"$31,473.50",Auction," $42,444.00 ","$10,970.50 ","$11,970.50 ",50,34.86%,2,,,,,,1,1,,,,,,,,
1311,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,,John Deere,JOHN DEERE,4700,4700,,,,,,"Fargo, ND",12/7/2021,"$25,462.50 ",,,,," $25,462.50 ",  ,9/15/2022,1," $6,400.00 "," $3,175.32 ",$828.32,"$4,003.64 ",495," $1,090.00 ","$1,585.00 ","$37,451.14",Auction," $26,352.00 ","($11,099.14)","($7,923.82)",282,-29.64%,2,,,,,,1,1,,,,,,,,
1313,Construction,Dozer,Construction_Equipment,Dozers - Crawler,2010,Deere,DEERE,764HSD,764HSD,8720,,,,,"Fargo, ND",12/8/2021,"$69,540.00 ",,,," $85,000.00 "," $69,540.00 "," $15,460.00 ",12/28/2021,0," $4,000.00 ",  ,  ,$0.00 ,,,,"$73,540.00",Retail," $81,000.00 ","$7,460.00 ",,20,10.14%,,,,,,,,,,,,,,,,
1314,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1996,John Deere,JOHN DEERE,8300,8300,,,,,,"Fargo, ND",12/31/2021,"$30,500.00 ",,,,," $30,500.00 ",  ,1/19/2022,0,"$2,700.00 ", $435.00 ,$991.62,"$1,426.62 ",$830.00 ,,$830.00 ,"$35,456.62",Auction," $44,820.00 ","$9,363.38 ","$9,798.38 ",19,26.41%,1,,1,,,,,,,,,,,,,
1315,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2006,New Holland,NEW HOLLAND,TM175,TM175,,,WCTractor,,,"Hurricane Mills, TN",12/10/2021,"$26,000.00 ",,,," $35,000.00 "," $26,000.00 "," $9,000.00 ",1/26/2022,0,"$2,500.00 "," $1,000.00 ",$0.00,"$1,000.00 ",$595.00 ,,$595.00 ,"$30,095.00",Auction," $28,944.00 ","($1,151.00)",($151.00),47,-3.82%,1,,,,,,,,,1,,,,,,
1316,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2016,John Deere,JOHN DEERE,770 Forage Header,770,,,,,,"Fargo, ND",1/15/2022,"$20,900.00 ",,,,," $20,900.00 ",  ,2/9/2022,0," $1,500.00 ", $100.00 ,$50.00,$150.00 , $495.00 ,,$495.00 ,"$23,045.00",Auction," $23,760.00 ",$715.00 ,$815.00 ,25,3.10%,1,,,,,,,1,,,,,,,,
1317,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2016,Claas,CLAAS,Orbis 750,ORBIS 750,,,Purple Wave,,,"Fargo, ND",12/9/2021,"$20,900.00 ",,,," $35,000.00 "," $20,900.00 "," $14,100.00 ",2/9/2022,0,"$1,400.00 ", $25.00 ,$50.00,$75.00 ,$495.00 ,,$495.00 ,"$22,870.00",Auction," $24,516.00 ","$1,646.00 ","$1,671.00 ",62,7.20%,1,,,,,,,1,,,,,,,,
1318,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2014,Claas,CLAAS,Orbis 750,ORBIS 750 PRO,,,,,,"Fargo, ND",12/9/2021,"$16,150.00 ",,,,," $16,150.00 ",  ,9/14/2022,2," $1,400.00 ", $25.00 ,$50.00,$75.00 , $395.00 , $990.00 ,"$1,385.00 ","$19,010.00",Auction," $15,228.00 ","($3,782.00)","($3,757.00)",279,-19.89%,2,,,,,,1,1,,,,,,,,
1319,Agriculture,Chopper,Agricultural_Equipment,Harvesters - Forage - Self-Propelled,2008,John Deere,JOHN DEERE,7850 ProDrive,7850,,,Ritchie Bros,,,"Fargo, ND",12/14/2021,"$45,000.00 ",,,," $70,000.00 "," $45,000.00 "," $25,000.00 ",2/4/2022,0,"$1,500.00 ", $456.75 ,$500.00,$956.75 ," $1,275.00 ",,"$1,275.00 ","$48,731.75",Retail," $70,000.00 ","$21,268.25 ","$21,725.00 ",52,43.64%,2,,,,,,1,1,,,,,,,,
1320,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2014,John Deere,JOHN DEERE,770 Forage Header,770,,,,Saskatoon,"SK, Canada","Fargo, ND",2/2/2022,"$12,282.51 ",,,," $25,000.00 "," $12,282.51 "," $12,717.49 ",2/4/2022,0,"$1,500.00 ", $-   ,,$0.00 , $395.00 ,,$395.00 ,"$14,177.51",Retail," $25,000.00 ","$10,822.49 ","$10,822.49 ",2,76.34%,2,,,,,,1,1,,,,,,,,
1322,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2015,John Deere,JOHN DEERE,640FD,640FD,,,Ritchie Bros,,,"Fargo, ND",12/8/2021,"$32,189.00 ",,,," $45,000.00 "," $32,189.00 "," $12,811.00 ",1/26/2022,0,"$1,900.00 ", $-   ,$78.52,$78.52 ,"$1,114.00 ",,"$1,114.00 ","$35,281.52",Auction," $60,156.00 ","$24,874.48 ","$24,874.48 ",49,70.50%,2,,,,,,1,1,,,,,,,,
1323,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2004,Manitou,MANITOU,MLT940,MLT940,,,Ritchie Bros,Lincoln,NE,"Fargo, ND",1/25/2022,"$24,200.00 ",,,," $35,000.00 "," $24,200.00 "," $10,800.00 ",1/20/2022,0,"$1,500.00 ", $354.22 ,$40.62 ,$394.84 ,,,,"$26,094.84",Retail," $32,000.00 ","$5,905.16 ","$6,259.38 ",-5,22.63%,1,,,,,,,1,,,,,,,,
1324,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,7800,7800,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",12/13/2021,"$17,775.00 ",,,," $25,000.00 "," $17,775.00 "," $7,225.00 ",1/26/2022,0,"$1,000.00 "," $1,000.00 ",$500.00,"$1,500.00 ",$495.00 ,,$495.00 ,"$20,770.00",Auction," $21,600.00 ",$830.00 ,"$1,830.00 ",44,4.00%,1,,,,,,,,1,,,,,,,
1326,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,1999,John Deere,JOHN DEERE,4700,4700,,,Ritchie Bros,,,"Fargo, ND",12/15/2021,"$21,700.00 ",,,," $35,000.00 "," $21,700.00 "," $13,300.00 ",1/26/2022,0,"$2,500.00 ", $600.00 ,$90.00,$690.00 ,$595.00 ,,$595.00 ,"$25,485.00",Auction," $32,076.00 ","$6,591.00 ","$7,191.00 ",42,25.86%,2,,,,,,1,1,,,,,,,,
