Stocks,Category,MachineType,InventoryTypeSH,CategorySH,Year,Make,ManufacturerSH,Model,ModelSH,Hours,Condition,Seller,PurchCity,PurchState,DaggerLocation,DatePurchased,PurchPrice, EstFreight , EstLabor , EstParts , EstSalePrice , EstTotalCost , EstProfit ,DateSold,Buyback, Freight , Labor , Parts , TotalRepairCost , ListingFees , BuybackFee ,TotalFees, TotalCOGS ,SaleType, SalePrice ,Profit,ProfitNoLabor,Turnover,ROI,Collab,Jared,Dustin,Quinn,Nash,Gifford,Bunde,Chris,Ethan,Wes,Korey,(Numbers added since switching back to individual),Notes,AuctionEnd,ClosingTime
1190,Construction,Sweeper,,,2013,Tennant,,T20,,,,,,,"Fargo, ND",10/5/2021,5500,,,,,5500,  ,,,300,  ,,,,,,5800,,  ,,,,,1,,,,,,,,1,,,,ASSET,,
1192,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,TX-1000,DINGO TX1000N,,,,,,"Fargo, ND",10/1/2021,13500,,,,18000,13500,4500,3/16/2022,,1000,763,85,848,395,,395,15743,Auction,12528,-3215,-2452,166,-20.42,1,,,,,,,1,,,,,,,
1193,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2017,Toro,TORO,22323G,DINGO TX525N,,,,,,"Fargo, ND",10/1/2021,7750,,,,12000,7750,4250,2/16/2022,,1000,606,267,873,395,,395,10018,Auction,11556,1538,2144,138,15.35,1,,,,,,,1,,,,,,,
1203,Construction,Heater,Construction_Equipment,Towable Heaters,2018,Allmond Brothers,ALLMAND BROS,Maxi-Heat,MAXI HEAT 1MBTU,,,,,,"Fargo, ND",9/26/2021,15500,,,,25000,15500,9500,,,1000,  ,,,,,,16500,,  ,,,,,1,1,,,,,,,,,,,ASSET,,
1205,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2005,Ag Chem,AG-CHEM,Terragator 9203,TERRAGATOR 9203,6158,,,,,"Fargo, ND",9/30/2021,7665,,,,,7665,  ,11/24/2021,1,3200,2338,960.99,3298.99,,395,395,14558.99,Auction,11988,-2570.99,-232.99,55,-17.66,,,,,,,,,,,,,,,
1212,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2016,Rogator,ROGATOR,9300B,RG9300B,,,,,,"Fargo, ND",9/30/2021,51540,,,,65000,51540,13460,3/28/2022,,,   ,,,500,,500,52040,Retail,55000,2960,2960,179,5.69,1,,,,,,,,1,,,,,,
1233,Construction,Dump Truck,Construction_Equipment,Off-Highway Trucks,2020,Bell,BELL,B45E,B45E,,,,,,"Fargo, ND",10/15/2021,121000,,,,250000,121000,129000,3/8/2022,,8000,39626,,39626,,,,168626,Retail,350000,181374,221000,144,107.56,1,,,,,,,,1,,,,,,
1234,Agriculture,Harvester,Agricultural_Equipment,Specialty Crop Equipment - Harvesters - Other,2020,Case IH,CASE IH,A9900 Sugar Cane,A9900,,,,,,"Fargo, ND",10/1/2021,34320,,,,,34320,  ,,,   ,  ,,,,,,34320,,  ,,,,,1,,,,,,,,1,,,,ASSET,,
1248,Construction,Skidsteer,Construction_Equipment,Skid Steers - Track,2016,Toro,TORO,22327G,DINGO TX1000N,,,IronPlanet,,,"Fargo, ND",10/15/2021,14700,,,,19000,14700,4300,3/17/2022,,1300,1200,85,1285,495,,495,17780,Auction,17820,40,1240,153,0.22,1,,,,,,,1,,,,,,,
1255,Agriculture,Baler,Agricultural_Equipment,Hay and Forage Equipment - Round Balers,2016,Kubota,KUBOTA,BV4580,BV4580,,,,,,"Fargo, ND",11/12/2021,12870,,,,20000,12870,7130,8/10/2022,1,1300,411,395,806,395,790,1185,16161,Auction,11880,-4281,-3870,271,-26.49,1,,,,,1,,,,,,,,,
1258,Construction,Loader,Construction_Equipment,Wheel Loaders,2015,Caterpillar,CATERPILLAR,950M,950M,3167,,IronPlanet,,,"Fargo, ND",11/20/2021,72540,,,,110000,72540,37460,1/26/2022,,4900,6885,1869.13,8754.13,3186,,3186,89380.13,Auction,172044,82663.87,89548.87,67,92.49,1,1,,,,,,,,,,,,,
1259,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Prinoth,PRINOTH,Panther T8,PANTHER T8,2597,,,,,"Fargo, ND",11/1/2021,47540,,,,,47540,  ,7/13/2022,,2650,   ,,,938,,938,51128,Auction,50652,-476,-476,254,-0.93,1,,,,,,,,1,,,,,,
1262,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Morooka,,MST1500VD,,1136,,,,,"Fargo, ND",11/15/2021,57540,,,,,57540,  ,,1,3800,   ,152.56,152.56,,1116,1116,62608.56,,,,,,,1,,,,,,,1,,,,,Ask Bunde,,
1263,Construction,Crawler Dumper,Construction_Equipment,Crawler Carriers,2015,Prinoth,PRINOTH,Panther T12,PANTHER T12,2997,,IronPlanet,,,"Fargo, ND",11/15/2021,54540,,,,1,54540,-54539,2/3/2022,1,3950,1548,14.64,1562.64,,1120,1120,61172.64,Retail,66000,4827.36,6375.36,80,7.89,1,,,,,,,,1,,,,,,
1272,Others,Container,Other_Items,Shipping Containers,,,UNKNOWN,40' Shipping Container,40' CONTAINER,,,,,,"Fargo, ND",11/12/2021,2530,,,,5000,2530,2470,,,1900,  ,,,,,,4430,,  ,,,,,1,,,,,1,,,,,,,ASSET,,
1273,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1996,Challenger,CATERPILLAR,CH55,CH55,,,IronPlanet,,,"Hurricane Mills, TN",2/1/2022,10450,,,,15000,10450,4550,3/2/2022,,1700,423,250,673,395,,395,13218,Auction,13932,714,1137,29,5.4,1,,,,,,1,,,,,,,,
1275,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2012,Rogator,ROGATOR,RG1100,RG1100,2600,3,Liberty Mutual Insurance,,,"Fargo, ND",12/15/2021,16000,,,,45000,16000,29000,3/9/2022,,4200,300,128.47,428.47,495,,495,21123.47,Auction,25704,4580.53,4880.53,84,21.68,1,1,,,,,,,,,,,,,
1276,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,New Holland,NEW HOLLAND,TV140,TV140,8225,,,,,"Fargo, ND",11/8/2021,14586,,,,1,14586,-14585,3/10/2022,,2000,1817.28,  ,1817.28,,,,18403.28,Retail,27500,9096.72,10914,122,49.43,,,,,,,,,,,,,,,
1284,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2006,Ag-Chem,AG-CHEM,TG8103,TERRAGATOR 8103,4200,,Del Peterson,,,"Fargo, ND",12/1/2021,7992,,,,15000,7992,7008,2/2/2022,,1100,500,316.12,816.12,495,,495,10403.12,Auction,17928,7524.88,8024.88,63,72.33,1,1,,,,,,,,,,,,,
1290,Construction,Loader,Construction_Equipment,Wheel Loaders,2012,Volvo,VOLVO,L250G,L250G,11306,3,,,,"Fargo, ND",11/17/2021,15510,,,,75000,15510,59490,4/20/2022,,15000,7317,3000.02,10317.02,964,,964,41791.02,Auction,52056,10264.98,17581.98,154,24.56,1,,,,,1,,,,,,,,,
1291,Construction,Loader,Construction_Equipment,Wheel Loaders,2014,Volvo,VOLVO,L250H,L250H,,3,IronPlanet,,,"Fargo, ND",11/17/2021,17600,,,,75000,17600,57400,3/24/2022,,15000,   ,,,595,,595,33195,Auction,31860,-1335,-1335,127,-4.02,1,,,,,1,,,,,,,,,
1292,Construction,Dozer,Construction_Equipment,Dozers - Crawler,2008,Case,CASE,850L,850L,,3,IronPlanet,,,"Fargo, ND",1/1/2022,17600,,,,-12,17600,-17612,3/16/2022,,4900,470,,470,595,,595,23565,Auction,27000,3435,3905,74,14.58,1,,,,,,,,1,,,,,,
1293,Construction,Drill Rig,Construction_Equipment,Drills - Vertical,2018,Sandvik,SANDVIK,DX900i,DX900I,,3,,,,"Fargo, ND",1/11/2021,90310,,,,250000,90310,159690,7/20/2022,,8400,4585.5,333.44,4918.94,1842,,1842,105470.94,Auction,99468,-6002.94,-1417.44,555,-5.69,1,,,,,,,,1,,,,,,
1294,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1998,Case IH,CASE IH,7220,7220,11817,,Loup Machinery,,,"Hurricane Mills, TN",2/15/2022,24500,,,,35000,24500,10500,3/2/2022,,1302,1000,500,1500,595,,595,27897,Auction,33696,5799,6799,15,20.79,2,,,,,,1,1,,,,,,,
1295,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,1997,Case IH,CASE IH,7210,7210,7600,,,,,"Hurricane Mills, TN",11/18/2021,24500,,,,,24500,  ,4/11/2022,1,1302,1000,500,1500,,495,495,27797,Retail,35000,7203,8203,144,25.91,2,,,,,,1,1,,,,,,,
1303,Agriculture,Cotton Stripper,Agricultural_Equipment,Harvesters - Cotton Pickers/Strippers,2018,John Deere,JOHN DEERE,CS690,CS690,,3,Liberty Mutual Insurance,Perryton,TX,Off-Site,12/10/2021,102100,,,,150000,102100,47900,2/1/2022,,,   ,1000,1000,2604,,2604,105704,Auction,140616,34912,34912,53,33.03,1,,,,,,,,1,,,,,,
1304,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2012,Terragator,TERRAGATOR,TG8400,TG8400,3896,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,32000,,,,45000,32000,13000,2/2/2022,,1000,1600,850,2450,706,,706,36156,Auction,38124,1968,3568,61,5.44,2,,,,,,1,1,,,,,,,
1305,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2013,Terragator,TERRAGATOR,TG8400,TG8400,3471,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,32500,,,,50000,32500,17500,2/23/2022,,1000,269,65.24,334.24,724,,724,34558.24,Auction,39096,4537.76,4806.76,82,13.13,2,,,,,,1,1,,,,,,,
1306,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2015,Terragator,TERRAGATOR,TG8300B,TG8300B,2922,,Sullivan Auctioneers,New Hampton,IA,"Fargo, ND",12/3/2021,37500,,,,55000,37500,17500,2/16/2022,,1300,2327,1375.86,3702.86,810,,810,43312.86,Auction,40500,-2812.86,-485.86,75,-6.49,2,,,,,,1,1,,,,,,,
1307,Agriculture,Floater,Agricultural_Equipment,Chemical Applicators - Floaters,2015,Terragator,TERRAGATOR,TG9300B,TG9300B,2284,,Sullivan Auctioneers,Willmar,MN,"Fargo, ND",12/3/2021,51000,,,,,51000,  ,2/23/2022,,1000,639,1038.35,1677.35,1010,,1010,54687.35,Auction,54540,-147.35,491.65,82,-0.27,2,,,,,,1,1,,,,,,,
1308,Agriculture,Chopper,Agricultural_Equipment,Harvesters - Forage - Self-Propelled,2008,Krone,KRONE,Big X 800,Big X 800,3490,,Dakota Line Sales,,,"Fargo, ND",12/2/2021,25535,,,,,25535,  ,2/23/2022,,500,3811,4989.96,8800.96,595,,595,35430.96,Auction,30456,-4974.96,-1163.96,83,-14.04,1,,,,,,,1,,,,,,,
1309,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2013,Krone,KRONE,Easy Collect 753,Easy Collect 753,,,Dakota Line Sales,,,"Fargo, ND",12/2/2021,10000,,,,,10000,  ,2/23/2022,,500,383,,383,495,,495,11378,Auction,19656,8278,8661,83,72.75,1,,,,,,,1,,,,,,,
1310,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2005,New Holland,NEW HOLLAND,TM190,TM190,,,Rebel Auction (EF),Lydia,SC,"Hurricane Mills, TN",12/7/2021,26487.5,,,,37000,26487.5,10512.5,1/26/2022,,1400,1000,1800,2800,786,,786,31473.5,Auction,42444,10970.5,11970.5,50,34.86,2,,,,,,1,1,,,,,,,
1311,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,,John Deere,JOHN DEERE,4700,4700,,,,,,"Fargo, ND",12/7/2021,25462.5,,,,,25462.5,  ,9/15/2022,1,6400,3175.32,828.32,4003.64,495,1090,1585,37451.14,Auction,26352,-11099.14,-7923.82,282,-29.64,2,,,,,,1,1,,,,,,,
1313,Construction,Dozer,Construction_Equipment,Dozers - Crawler,2010,Deere,DEERE,764HSD,764HSD,8720,,,,,"Fargo, ND",12/8/2021,69540,,,,85000,69540,15460,12/28/2021,,4000,  ,  ,,,,,73540,Retail,81000,7460,,20,10.14,,,,,,,,,,,,,,,
1314,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1996,John Deere,JOHN DEERE,8300,8300,,,,,,"Fargo, ND",12/31/2021,30500,,,,,30500,  ,1/19/2022,,2700,435,991.62,1426.62,830,,830,35456.62,Auction,44820,9363.38,9798.38,19,26.41,1,,1,,,,,,,,,,,,
1315,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,2006,New Holland,NEW HOLLAND,TM175,TM175,,,WCTractor,,,"Hurricane Mills, TN",12/10/2021,26000,,,,35000,26000,9000,1/26/2022,,2500,1000,,1000,595,,595,30095,Auction,28944,-1151,-151,47,-3.82,1,,,,,,,,,1,,,,,
1316,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2016,John Deere,JOHN DEERE,770 Forage Header,770,,,,,,"Fargo, ND",1/15/2022,20900,,,,,20900,  ,2/9/2022,,1500,100,50,150,495,,495,23045,Auction,23760,715,815,25,3.1,1,,,,,,,1,,,,,,,
1317,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2016,Claas,CLAAS,Orbis 750,ORBIS 750,,,Purple Wave,,,"Fargo, ND",12/9/2021,20900,,,,35000,20900,14100,2/9/2022,,1400,25,50,75,495,,495,22870,Auction,24516,1646,1671,62,7.2,1,,,,,,,1,,,,,,,
1318,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2014,Claas,CLAAS,Orbis 750,ORBIS 750 PRO,,,,,,"Fargo, ND",12/9/2021,16150,,,,,16150,  ,9/14/2022,2,1400,25,50,75,395,990,1385,19010,Auction,15228,-3782,-3757,279,-19.89,2,,,,,,1,1,,,,,,,
1319,Agriculture,Chopper,Agricultural_Equipment,Harvesters - Forage - Self-Propelled,2008,John Deere,JOHN DEERE,7850 ProDrive,7850,,,Ritchie Bros,,,"Fargo, ND",12/14/2021,45000,,,,70000,45000,25000,2/4/2022,,1500,456.75,500,956.75,1275,,1275,48731.75,Retail,70000,21268.25,21725,52,43.64,2,,,,,,1,1,,,,,,,
1320,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Forage - Rotary,2014,John Deere,JOHN DEERE,770 Forage Header,770,,,,Saskatoon,"SK, Canada","Fargo, ND",2/2/2022,12282.51,,,,25000,12282.51,12717.49,2/4/2022,,1500,   ,,,395,,395,14177.51,Retail,25000,10822.49,10822.49,2,76.34,2,,,,,,1,1,,,,,,,
1322,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Platform,2015,John Deere,JOHN DEERE,640FD,640FD,,,Ritchie Bros,,,"Fargo, ND",12/8/2021,32189,,,,45000,32189,12811,1/26/2022,,1900,   ,78.52,78.52,1114,,1114,35281.52,Auction,60156,24874.48,24874.48,49,70.5,2,,,,,,1,1,,,,,,,
1323,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2004,Manitou,MANITOU,MLT940,MLT940,,,Ritchie Bros,Lincoln,NE,"Fargo, ND",1/25/2022,24200,,,,35000,24200,10800,1/20/2022,,1500,354.22,40.62,394.84,,,,26094.84,Retail,32000,5905.16,6259.38,-5,22.63,1,,,,,,,1,,,,,,,
1324,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,John Deere,JOHN DEERE,7800,7800,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",12/13/2021,17775,,,,25000,17775,7225,1/26/2022,,1000,1000,500,1500,495,,495,20770,Auction,21600,830,1830,44,4,1,,,,,,,,1,,,,,,
1326,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,1999,John Deere,JOHN DEERE,4700,4700,,,Ritchie Bros,,,"Fargo, ND",12/15/2021,21700,,,,35000,21700,13300,1/26/2022,,2500,600,90,690,595,,595,25485,Auction,32076,6591,7191,42,25.86,2,,,,,,1,1,,,,,,,
1327,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2012,JCB,JCB,527-55,527-55,,,Ritchie Bros,,,"Fargo, ND",12/10/2021,15200,,,,25000,15200,9800,3/16/2022,,2500,379,5.99,384.99,495,,495,18579.99,Auction,21708,3128.01,3507.01,96,16.84,2,,,,,,1,1,,,,,,,
1328,Agriculture,Tractor,Agricultural_Equipment,Tractors - 40 HP to 99 HP,,John Deere,JOHN DEERE,2955,2955,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",12/13/2021,8293.75,,,,12000,8293.75,3706.25,1/26/2022,,700,1000,,1000,395,,395,10388.75,Auction,15552,5163.25,6163.25,44,49.7,1,,,,,,,,1,,,,,,
1330,Agriculture,Tractor,Agricultural_Equipment,Tractors - 100 HP to 174 HP,,New Holland,NEW HOLLAND,130A,TS130A,,,Rebel Auction (EF),Hazelhurst,GA,"Hurricane Mills, TN",12/13/2021,27100,,,,35000,27100,7900,1/26/2022,,1000,1000,,1000,780,,780,29880,Auction,42120,12240,13240,44,40.96,1,,,,,,,,1,,,,,,
1332,Trucks,Heavy Duty,Trucks,Heavy Duty Trucks - Winch / Oil Field Trucks,1994,Oshkosh,OSHKOSH,M1070 HET,M1070,,,IronPlanet,,,"Fargo, ND",12/9/2021,25100,,,,,25100,  ,3/25/2022,,5000,   ,,,,,,30100,Retail,40000,9900,9900,106,32.89,1,,,,,,,,1,,,,,,
1333,Others,Tires,,,,Michelin,,16R20,,,,,,,"Fargo, ND",12/10/2021,3100,,,,,3100,  ,,,1500,  ,,,,,,4600,,  ,,,,,1,,,,,,,,1,,,,PARTS,,
1334,Construction,Scraper,Construction_Equipment,Scrapers - Pull,2011,Deere,DEERE,1812C,1812C,,,,Port Sulphur,LA,"Hurricane Mills, TN",12/30/2021,18100,,,,25000,18100,6900,1/26/2022,,4697.5,1000,,1000,495,,495,24292.5,Auction,22788,-1504.5,-504.5,27,-6.19,1,,,,,,,,1,,,,,,
1335,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,John Deere,JOHN DEERE,8200,8200,11745,,Worldnet Auctions LLC,,,"Hurricane Mills, TN",12/10/2021,34720,,,,40000,34720,5280,1/26/2022,,2100,1000,,1000,706,,706,38526,Auction,38124,-402,598,47,-1.04,1,,1,,,,,,,,,,,,
1336,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2004,John Deere,JOHN DEERE,9520,9520,,3,Ritchie Bros,Los Angeles,CA,"Fargo, ND",12/17/2021,41540,,,,60000,41540,18460,2/15/2022,,10720,400,1015.98,1415.98,   ,,,53675.98,Retail,60000,6324.02,6724.02,60,11.78,1,,,,,,,,1,,,,,,
1337,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,,Case IH,CASE IH,MX240,MX240,,3,IronPlanet,,,"Fargo, ND",12/16/2021,13200,,,,24000,13200,10800,3/16/2022,,3340,2389,,2389,495,,495,19424,Auction,17496,-1928,461,90,-9.93,1,,,,,,,,1,,,,,,
1338,Construction,Loader,Construction_Equipment,Wheel Loaders,2004,Mase,CASE,521D,521D,5307,,Ritchie Bros,,,"Fargo, ND",12/20/2021,26200,,,,40000,26200,13800,2/9/2022,,4000,1868,250,2118,792,,792,33110,Auction,42768,9658,11526,51,29.17,2,,,,,,1,1,,,,,,,
1339,Construction,Loader,Construction_Equipment,Wheel Loaders,2002,Caterpillar,CATERPILLAR,924G,924G,11964,,Ritchie Bros,,,"Hurricane Mills, TN",12/20/2021,24200,,,,40000,24200,15800,1/26/2022,,1700,1000,,1000,595,,595,27495,Auction,32184,4689,5689,37,17.05,2,,,,,,1,1,,,,,,,
1340,Construction,Loader,Construction_Equipment,Wheel Loaders,2015,Caterpillar,CATERPILLAR,950K,950K,17064,,56 Truck & Equipment,,,"Fargo, ND",12/16/2021,58000,,,,70000,58000,12000,2/2/2022,,2200,1404,1800,3204,1602,,1602,65006,Auction,86508,21502,22906,48,33.08,1,,,,,1,,,,,,,,,
1341,Agriculture,Header,Agricultural_Equipment,Harvesters - Headers - Row Crop,2013,Geringhoff,GERINGHOFF,RD1200B,RD1200B,,,Ritchie Bros,,,"Fargo, ND",12/16/2021,24758.39,,,,30000,24758.39,5241.61,2/9/2022,,1500,   ,,,495,,495,26753.39,Auction,24624,-2129.39,-2129.39,55,-7.96,2,,,,,,1,1,,,,,,,
1342,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,2014,JLG,JLG,G12-55A,G12-55A,5000,,Steffes,,,"Fargo, ND",12/21/2021,30500,,,,60000,30500,29500,2/16/2022,,1200,882,1294.56,2176.56,1200.96,,1200.96,35077.52,Auction,60048,24970.48,25852.48,57,71.19,2,,,,,,1,1,,,,,,,
1343,Construction,Loader,Construction_Equipment,Wheel Loaders,2013,Caterpillar,CATERPILLAR,924K,924K,11335,,Clark Heavy Equipment,,,"Hurricane Mills, TN",12/22/2021,29100,,,,50000,29100,20900,1/26/2022,,1400,1000,200,1200,595,,595,32295,Auction,33588,1293,2293,35,4,1,,,,,,,,1,,,,,,
1344,Construction,Loader,Construction_Equipment,Wheel Loaders,2009,Caterpillar,CATERPILLAR,924HZ,924HZ,9821,,Purple Wave,,,"Hurricane Mills, TN",12/17/2021,33000,,,,40000,33000,7000,3/2/2022,,1700,1000,300,1300,858,,858,36858,Auction,46332,9474,10474,75,25.7,1,,,,,,,1,,,,,,,
1345,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2014,Apache,APACHE,AS1025,AS1025,561,,BigIron,,,"Fargo, ND",12/17/2021,65750,,,,95000,65750,29250,2/2/2022,,2500,2100,1190.62,3290.62,1322,,1322,72862.62,Auction,71388,-1474.62,625.38,47,-2.02,1,1,,,,,,,,,,,,,
1346,Agriculture,Sprayer,Agricultural_Equipment,Chemical Applicators - Sprayers - Self Propelled,2009,Apache,APACHE,AS1010,AS1010,2581,,BigIron,,,"Fargo, ND",1/25/2022,41750,,,,50000,41750,8250,1/24/2022,,2400,209.72,,209.72,,,,44359.72,Retail,50000,5640.28,5850,-1,12.71,2,,,,,,1,1,,,,,,,
1347,Agriculture,Tractor,Agricultural_Equipment,Tractors - 175 HP to 299 HP,1995,John Deere,JOHN DEERE,8100,8100,3072,,Clayton Auctions (EF),,,"Hurricane Mills, TN",1/1/2022,38120,,,,47500,38120,9380,1/12/2022,,750,  ,,,960,,960,39830,Retail,48000,8170,,11,20.51,1,,,,,1,,,,,,,,,
1348,Agriculture,Spreader,Agricultural_Equipment,Chemical Applicators - Fertilizer Applicators - Dry,2003,Mertz,MERTZ,3004 Silver Wheels,3004,1849,,RJ Stockwell,,,"Fargo, ND",12/17/2021,18390,,,,30000,18390,11610,2/2/2022,,2200,400,,400,595,,595,21585,Auction,27108,5523,5923,47,25.59,2,,,,,,1,1,,,,,,,
1349,Construction,Telehandler,Construction_Equipment,Lifts - Telehandlers,,JLG,JLG,G10-55A,G10-55A,,,Witcher Auctions,,,"Hurricane Mills, TN",12/17/2021,25715,,,,35000,25715,9285,1/26/2022,,650,1000,,1000,910,,910,28275,Auction,49140,20865,21865,40,73.79,1,1,,,,,,,,,,,,,
1351,Agriculture,Tractor,Agricultural_Equipment,Tractors - 300 HP or Greater,2003,John Deere,JOHN DEERE,9520,9520,6789,,IronPlanet,,,"Hurricane Mills, TN",12/20/2021,35828.25,,,,55000,35828.25,19171.75,3/2/2022,,3700,1000,,1000,732,,732,41260.25,Auction,39528,-1732.25,-732.25,72,-4.2,1,,,,,,,,1,,,,,,
