Date,Open,High,Low,Close
12/27/94,"3,833.80","3,866.40","3,833.77","3,861.69"
12/28/94,"3,861.70","3,862.36","3,826.03","3,839.49"
12/29/94,"3,839.50","3,847.90","3,832.42","3,833.43"
12/30/94,"3,833.40","3,850.59","3,833.09","3,834.44"
1/3/95,"3,834.40","3,845.20","3,827.71","3,838.48"
1/4/95,"3,838.50","3,857.99","3,831.07","3,857.65"
1/5/95,"3,857.60","3,860.68","3,843.19","3,850.92"
1/6/95,"3,850.90","3,887.26","3,841.84","3,867.41"
1/9/95,"3,867.40","3,874.48","3,853.28","3,861.35"
1/10/95,"3,861.40","3,898.70","3,861.35","3,866.74"
1/11/95,"3,866.70","3,882.89","3,840.16","3,862.03"
1/12/95,"3,862.00","3,864.05","3,851.26","3,859.00"
1/13/95,"3,859.00","3,910.14","3,859.00","3,908.46"
1/16/95,"3,908.50","3,936.72","3,907.45","3,932.34"
1/17/95,"3,932.30","3,934.70","3,916.19","3,930.66"
1/18/95,"3,930.70","3,931.33","3,906.10","3,928.98"
1/19/95,"3,928.30","3,928.31","3,878.51","3,882.21"
1/20/95,"3,882.20","3,882.55","3,847.22","3,869.43"
1/23/95,"3,869.40","3,871.11","3,838.48","3,867.41"
1/24/95,"3,867.40","3,876.49","3,862.36","3,862.70"
1/25/95,"3,862.70","3,891.30","3,845.88","3,871.45"
1/26/95,"3,871.40","3,879.52","3,853.28","3,870.44"
1/27/95,"3,870.40","3,887.26","3,848.23","3,857.99"
1/30/95,"3,858.00","3,859.00","3,817.26","3,832.08"
1/31/95,"3,832.10","3,851.93","3,828.05","3,843.86"
2/1/95,"3,843.90","3,868.08","3,831.41","3,847.56"
2/2/95,"3,847.60","3,871.11","3,843.86","3,870.77"
2/3/95,"3,872.12","3,944.46","3,872.12","3,928.64"
2/6/95,"3,928.60","3,948.83","3,920.57","3,937.73"
2/7/95,"3,937.70","3,942.10","3,924.94","3,937.39"
2/8/95,"3,937.40","3,953.54","3,930.66","3,935.37"
2/9/95,"3,935.40","3,948.83","3,928.31","3,932.68"
2/10/95,"3,932.70","3,945.13","3,923.93","3,939.07"
2/13/95,"3,939.10","3,956.90","3,935.03","3,954.21"
2/14/95,"3,954.20","3,965.65","3,949.50","3,958.25"
2/15/95,"3,958.30","3,997.95","3,953.20","3,986.17"
2/16/95,"3,986.20","3,987.52","3,964.31","3,987.52"
2/17/95,"3,969.69","3,969.69","3,952.53","3,953.54"
2/21/95,"3,953.50","3,969.69","3,952.53","3,963.97"
2/22/95,"3,964.00","3,986.85","3,962.29","3,973.05"
2/23/95,"3,973.73","4,020.49","3,973.73","4,003.33"
2/24/95,"4,003.30","4,013.09","3,990.88","4,011.74"
2/27/95,"4,011.70","4,021.23","3,974.74","3,988.57"
2/28/95,"3,988.60","4,011.05","3,978.89","4,011.05"
3/1/95,"4,011.10","4,014.51","3,985.11","3,994.80"
3/2/95,"3,994.80","3,995.49","3,959.18","3,979.93"
3/3/95,"3,979.90","3,989.61","3,959.18","3,989.61"
3/6/95,"3,989.60","4,001.02","3,955.37","3,997.56"
3/7/95,"3,997.60","3,997.91","3,945.69","3,962.63"
3/8/95,"3,962.60","3,985.46","3,956.06","3,979.23"
3/9/95,"3,979.20","3,993.76","3,971.28","3,983.39"
3/10/95,"3,984.10","4,048.40","3,984.08","4,035.61"
3/13/95,"4,035.60","4,042.52","4,019.70","4,025.23"
3/14/95,"4,025.60","4,060.51","4,025.58","4,048.75"
3/15/95,"4,048.80","4,054.63","4,029.04","4,038.37"
3/16/95,"4,038.40","4,075.38","4,038.03","4,069.15"
3/17/95,"4,069.20","4,080.22","4,058.78","4,073.65"
3/20/95,"4,073.70","4,088.87","4,071.57","4,083.68"
3/21/95,"4,083.70","4,109.27","4,061.89","4,072.61"
3/22/95,"4,072.60","4,082.99","4,060.51","4,082.99"
3/23/95,"4,083.00","4,094.75","4,068.12","4,087.83"
3/24/95,"4,087.80","4,139.36","4,087.14","4,138.67"
3/27/95,"4,138.70","4,157.34","4,132.10","4,157.34"
3/28/95,"4,156.65","4,156.65","4,137.63","4,151.81"
3/29/95,"4,151.80","4,198.84","4,139.70","4,160.80"
1/1/00,"3,881.40","3,911.15","3,881.37","3,898.85"
