Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-11-29,"2,179","4,672",3.29,0,770,280,10,0,954
2020-11-30,"1,729","2,045",1.44,4,879,123,0,0,362
2020-12-01,"2,323","6,248",4.34,4,730,274,25,14,"1,167"
2020-12-02,"1,638","1,656",1.17,0,739,96,0,0,275
2020-12-03,"1,612","1,185",0.84,0,881,94,0,0,252
2020-12-04,"2,019","3,366",2.37,0,667,261,0,0,787
2020-12-05,"2,012","4,201",2.93,1,737,263,0,0,770
2020-12-06,"1,892","3,605",2.54,0,753,209,0,0,617
2020-12-07,"1,703","1,351",0.95,1,912,114,0,0,320
2020-12-08,"1,723","2,460",1.73,3,861,94,2,9,340
2020-12-09,"1,804","3,437",2.42,0,866,84,22,10,444
2020-12-10,"1,658","1,384",0.98,5,702,97,0,0,290
2020-12-11,"2,040","3,769",2.66,2,889,268,0,0,778
2020-12-12,"2,029","4,547",3.21,1,810,287,0,0,805
2020-12-13,"1,960","3,600",2.54,0,643,241,0,0,717
2020-12-14,"1,605",890,0.63,0,871,87,0,0,240
2020-12-15,"1,854","2,433",1.72,1,824,146,10,11,541
2020-12-16,"1,564",770,0.54,0,819,66,0,0,176
2020-12-17,"2,051","4,631",3.25,3,681,261,0,0,825
2020-12-18,"2,115","5,327",3.34,4,733,283,0,0,892
2020-12-19,"2,128","7,104",5.01,10,684,279,6,16,941
2020-12-20,"2,239","6,174",4.35,3,631,330,0,0,"1,069"
2020-12-21,"2,088","5,752",4.03,10,699,304,0,0,909
2020-12-22,"2,133","6,018",4.24,9,640,323,0,0,963
2020-12-23,"1,979","4,728",3.33,6,739,239,8,4,759
2020-12-24,"2,359","9,572",6.75,4,483,435,0,0,"1,324"
2020-12-25,"1,904","2,624",1.85,4,625,179,7,6,633
2020-12-26,"2,037","4,822",3.4,2,622,300,0,0,852
2020-12-27,"2,054","5,540",3.91,0,701,284,0,0,841
2020-12-28,"1,912","3,663",2.58,2,687,209,11,0,658
2020-12-29,"1,979","4,043",2.85,1,688,237,0,0,721
2020-12-30,"1,772","2,906",2.05,0,697,175,0,0,486
2020-12-31,"1,532",729,0.51,0,611,53,0,0,148
2021-01-01,"1,634","1,636",1.15,2,"1,211",97,0,0,290
2021-01-02,"1,881","7,536",5.31,1,583,74,21,41,567
2021-01-03,"1,973","7,004",4.94,2,694,130,26,28,693
2021-01-04,"1,722","1,725",1.22,1,840,128,0,0,369
2021-01-05,"1,447",142,0.1,0,854,16,0,0,46
2021-01-06,"1,972","4,528",3.19,3,"1,205",235,0,0,722
2021-01-07,"1,651","2,335",1.65,0,900,100,0,0,306
2021-01-08,"1,992","5,598",3.95,1,"1,230",210,0,0,708
